NR	objects	heightBST	heightAVL
1	1000	21	12
2	1100	21	12
3	1200	22	12
4	1300	23	13
5	1400	23	13
6	1500	23	13
7	1600	23	13
8	1700	23	13
9	1800	23	13
10	1900	23	13
11	2000	23	13
12	2100	23	13
13	2200	23	13
14	2300	24	14
15	2400	24	14
16	2500	24	14
17	2600	25	14
18	2700	25	14
19	2800	25	14
20	2900	25	14
21	3000	25	14
22	3100	25	14
23	3200	25	14
24	3300	25	14
25	3400	25	14
26	3500	25	14
27	3600	25	14
28	3700	25	14
29	3800	25	14
30	3900	25	14
31	4000	25	14
32	4100	25	15
33	4200	25	15
34	4300	25	15
35	4400	25	15
36	4500	25	15
37	4600	25	15
38	4700	25	15
39	4800	25	15
40	4900	26	15
41	5000	26	15
42	5100	26	15
43	5200	26	15
44	5300	26	15
45	5400	26	15
46	5500	26	15
47	5600	26	15
48	5700	26	15
49	5800	26	15
50	5900	26	15
51	6000	26	15
52	6100	26	15
53	6200	26	15
54	6300	26	15
55	6400	26	15
56	6500	26	15
57	6600	26	15
58	6700	27	15
59	6800	27	15
60	6900	27	15
61	7000	27	15
62	7100	27	15
63	7200	27	15
64	7300	27	15
65	7400	27	15
66	7500	27	15
67	7600	27	15
68	7700	27	15
69	7800	28	16
70	7900	28	16
71	8000	28	16
72	8100	28	16
73	8200	28	16
74	8300	28	16
75	8400	28	16
76	8500	28	16
77	8600	28	16
78	8700	28	16
79	8800	28	16
80	8900	28	16
81	9000	28	16
82	9100	28	16
83	9200	28	16
84	9300	28	16
85	9400	28	16
86	9500	28	16
87	9600	28	16
88	9700	28	16
89	9800	28	16
90	9900	28	16
91	10000	28	16
