NR	objects	CreateBST	CreateAVL	SearchBST	SearchAVL	SummaryBST	tSummaryAVL
1	10	2	3	2	1	4	4
2	20	3	5	2	2	5	7
3	30	4	8	2	2	6	10
4	40	14	12	3	3	17	15
5	50	8	15	3	3	11	18
6	60	9	18	3	3	12	21
7	70	10	31	4	7	14	38
8	80	15	27	6	5	21	32
9	90	15	30	6	5	21	35
10	100	16	32	5	5	21	37
11	110	18	35	6	6	24	41
12	120	25	38	6	6	31	44
13	130	20	42	6	6	26	48
14	140	24	45	7	7	31	52
15	150	26	49	8	7	34	56
16	160	32	53	8	9	40	62
17	170	28	57	9	9	37	66
18	180	30	60	9	10	39	70
19	190	31	64	10	10	41	74
20	200	33	68	10	12	43	80
21	210	35	72	11	11	46	83
22	220	37	77	12	11	49	88
23	230	39	80	12	12	51	92
24	240	40	84	13	12	53	96
25	250	42	88	16	13	58	101
26	260	44	92	14	14	58	106
27	270	46	98	17	15	63	113
28	280	48	102	19	16	67	118
29	290	51	107	21	16	72	123
30	300	53	111	19	17	72	128
31	310	55	115	19	18	74	133
32	320	56	118	21	19	77	137
33	330	63	124	21	20	84	144
34	340	62	129	22	20	84	149
35	350	64	132	22	21	86	153
36	360	66	136	23	24	89	160
37	370	68	141	24	25	92	166
38	380	69	116	25	20	94	136
39	390	57	119	20	20	77	139
40	400	59	123	21	20	80	143
41	410	65	127	22	21	87	148
42	420	62	130	23	21	85	151
43	430	64	134	26	22	90	156
44	440	66	144	26	27	92	171
45	450	69	145	28	26	97	171
46	460	71	147	28	26	99	173
47	470	72	149	28	27	100	176
48	480	72	152	29	27	101	179
49	490	74	179	29	32	103	211
50	500	80	162	30	27	110	189
51	510	78	267	46	45	124	312
52	520	124	235	50	31	174	266
53	530	82	171	33	30	115	201
54	540	84	175	34	31	118	206
55	550	84	178	34	31	118	209
56	560	86	181	34	31	120	212
57	570	87	185	34	32	121	217
58	580	95	206	35	33	130	239
59	590	107	208	36	34	143	242
60	600	110	250	37	36	147	286
61	610	110	215	39	35	149	250
62	620	110	220	40	36	150	256
63	630	112	224	40	37	152	261
64	640	116	226	40	37	156	263
65	650	112	229	41	38	153	267
66	660	123	232	43	38	166	270
67	670	116	236	43	41	159	277
68	680	124	240	44	41	168	281
69	690	124	250	45	42	169	292
70	700	126	249	46	42	172	291
71	710	128	256	49	44	177	300
72	720	130	258	48	44	178	302
73	730	132	262	48	44	180	306
74	740	134	267	49	45	183	312
75	750	137	270	49	45	186	315
76	760	138	273	50	46	188	319
77	770	138	279	51	47	189	326
78	780	142	281	51	48	193	329
79	790	192	325	79	51	271	376
80	800	147	296	54	50	201	346
81	810	149	292	55	51	204	343
82	820	148	300	55	51	203	351
83	830	156	310	57	53	213	363
84	840	161	314	57	53	218	367
85	850	161	320	58	53	219	373
86	860	226	341	75	55	301	396
87	870	175	350	68	56	243	406
88	880	175	340	61	59	236	399
89	890	169	334	65	57	234	391
90	900	171	345	62	59	233	404
91	910	181	343	63	58	244	401
92	920	183	351	72	63	255	414
93	930	182	379	66	63	248	442
94	940	200	387	69	62	269	449
95	950	189	421	75	79	264	500
96	960	209	404	94	63	303	467
97	970	205	420	77	87	282	507
98	980	261	431	98	79	359	510
99	990	231	573	104	74	335	647
100	1000	213	416	75	70	288	486
